                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9151,                0.77265,                      1,                 1.1634,              0.0002377,              0.0002377,              0.0002377
                      2,                0.44365,                0.83504,                      1,                 1.1035,                0.00046,                0.00046,                0.00046
                      3,                0.33076,                0.86239,                      1,                 1.0828,             0.00066659,             0.00066659,             0.00066659
                      4,                0.26124,                 0.8359,                      1,                 1.0788,             0.00064331,             0.00064331,             0.00064331
                      5,                 0.2221,                 0.8641,                      1,                 1.0547,             0.00064331,             0.00064331,             0.00064331
                      6,                0.18116,                0.86239,                      1,                 1.0463,             0.00061975,             0.00061975,             0.00061975
                      7,                0.15906,                0.90513,                      1,                  1.023,             0.00059619,             0.00059619,             0.00059619
                      8,                0.15343,                0.88462,                      1,                 1.0366,             0.00057263,             0.00057263,             0.00057263
                      9,                0.13232,                 0.8641,                      1,                 1.0566,             0.00054907,             0.00054907,             0.00054907
                     10,                0.12891,                0.88462,                      1,                 1.0418,              0.0005255,              0.0005255,              0.0005255
                     11,                 0.1141,                0.87607,                      1,                 1.0341,             0.00050194,             0.00050194,             0.00050194
                     12,                0.10856,                0.90598,                      1,                 1.0137,             0.00047838,             0.00047838,             0.00047838
                     13,                0.09756,                0.87949,                      1,                 1.0329,             0.00045482,             0.00045482,             0.00045482
                     14,                0.09381,                0.91368,                      1,                0.99738,             0.00043126,             0.00043126,             0.00043126
                     15,                0.08869,                0.87778,                      1,                 1.0346,             0.00040769,             0.00040769,             0.00040769
                     16,                0.07502,                0.90171,                      1,                 1.0169,             0.00038413,             0.00038413,             0.00038413
                     17,                0.07515,                0.89231,                      1,                 1.0218,             0.00036057,             0.00036057,             0.00036057
                     18,                 0.0737,                0.89573,                      1,                 1.0199,             0.00033701,             0.00033701,             0.00033701
                     19,                0.06138,                 0.8812,                      1,                 1.0293,             0.00031345,             0.00031345,             0.00031345
                     20,                0.07408,                0.88291,                      1,                 1.0258,             0.00028988,             0.00028988,             0.00028988
                     21,                  0.066,                0.88547,                      1,                 1.0245,             0.00026632,             0.00026632,             0.00026632
                     22,                0.06464,                0.90598,                      1,                 1.0111,             0.00024276,             0.00024276,             0.00024276
                     23,                0.06303,                0.91026,                      1,                 1.0062,              0.0002192,              0.0002192,              0.0002192
                     24,                0.05946,                0.88632,                      1,                   1.03,             0.00019564,             0.00019564,             0.00019564
                     25,                0.04916,                 0.8812,                      1,                 1.0327,             0.00017207,             0.00017207,             0.00017207
                     26,                0.05116,                0.88803,                      1,                 1.0234,             0.00014851,             0.00014851,             0.00014851
                     27,                0.05467,                0.87778,                      1,                  1.035,             0.00012495,             0.00012495,             0.00012495
                     28,                0.05061,                0.87607,                      1,                 1.0391,             0.00010139,             0.00010139,             0.00010139
                     29,                0.04474,                0.88632,                      1,                 1.0219,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     30,                0.04758,                0.87778,                      1,                 1.0326,             5.4264e-05,             5.4264e-05,             5.4264e-05
